role;repo + file;workload;workload_evidence;thread_model;thread_model_evidence;primitives;tradeoff_notes
Request coordination;helix-editor/helix:helix-dap/src/transport.rs;Coordination-heavy;“Async request/response coordination between debugger transport tasks”, “match server responses to originating client request”, “Many async tasks read/write the request map, send task inserts pending requests, recv task removes/completes them”, “Mutex protects correlation table, while channels carry actual data”, “pending_requests: Mutex<HashMap<u64, Sender<Result<Response>>>> -> for each request, a channel is stored so that its response can be delivered later”;Actor / message-passing model;"""Arc<Self> enables concurrent transport tasks"", ""pending_requests: Mutex<HashMap<u64, Sender<Result<Response>>>>"", ""for each request, a channel is stored so that its response can be delivered later"", ""match server responses to originating client request"", ""send task inserts pending requests, recv task removes/completes them""";Arc, tokio::sync::Mutex;Mutex protects correlation state safely across async tasks but the shared pending-request table can become a contention hotspot under heavy debugger traffic
Rendering coordination;helix-editor/helix:helix-event/src/redraw.rs;Coordination-heavy;“Coordinate editor redraw timing and prevent rendering during async work”, “lets background tasks block frame rendering until computation completes, while also waking renderer efficiently”, “RENDER_LOCK: RwLock<()> -> controlls when rendering is allowed”, “async tasks take the read lock, renderer takes write lock, rendering must wait untill all async tasks have completed”;Shared-state concurrency model;"""static RENDER_LOCK: RwLock<()> -> controlls when rendering is allowed"", ""async tasks take the read lock, renderer takes write lock"", ""rendering must wait untill all async tasks have completed""";parking_lot::RwLock;Guarantees redraw correctness and synchronisation ordering but rendering can stall while long-running async readers hold the lock
Event dispatch;helix-editor/helix:helix-event/src/registry.rs;Coordination-heavy;“global event bus (per runtime) for registering + dispatching hooks”, “central coordination of event registration + dispatch across modules/tasks”, “write-light (register_event/register_hook)”, “runtime_local! { static REGISTRY: RwLock<Registry> = RwLock::new(Registry”, “many reads for dispaching events, few writes for registering events/hooks”;Actor / message-passing model;"""global event bus (per runtime) for registering + dispatching hooks"", ""Registry (events map + handlers map)"", ""runtime_local! { static REGISTRY: RwLock<Registry> }"", ""dynamic dispatch via erased hooks""";RuntimeLocal<RwLock<Registry>>, RwLock;Central registry simplifies extensibility and dispatch coordination but shared handler maps require locking and manual type-erasure safety management
Runtime coordination;helix-editor/helix:helix-event/src/runtime.rs;Coordination-heavy;"""To prevent parallel integration tests from sharing globals while still allowing multi-threaded Tokio runtimes to share state"", “Global state isolation for parallel Tokio integration tests”, “acquire read lock -> check runtime entry -> upgrade to write path on miss -> insert leaked singleton”, “data: RwLock<HashMap<runtime::Id, &'static T>> -> rwlock synchronises concurrent access”";Shared-state concurrency model;"""data: RwLock<HashMap<runtime::Id, &'static T>>"", ""read lock -> check runtime entry"", ""write lock"" , ""Multiple threads may belong to same Tokio runtime"", ""Box::leak is used to make the data live forever""";parking_lot::RwLock;Runtime isolation prevents cross-runtime interference but lazy initialisation paths require additional lock coordination and indirection
Execution loop;helix-editor/helix:helix-term/src/application.rs;Coordination-heavy;"""Instead of locks it uses event-driven concurrency over multiple streams"", “Main Application loop of Helix text editor. Responsible for starting the editor, handling input + background jobs, rendering the UI, coordinating everything in a single async event loop”, “event-driven async coordination (tokio select)”, “jobs are done through channels”, “single main async runtime (tokio runtime), multiple async tasks spawned (UI, jobs, LSP, signals)”";Async executor–driven coordination;"""tokio::select!"", ""single main async runtime (tokio runtime)"", ""multiple async tasks spawned (UI, jobs, LSP, signals)"", ""event-driven async coordination"", ""message passing via channels""";Arc, ArcSwap;"Avoids extensive shared-memory locking through async coordination and snapshot sharing	 but correctness depends on event ordering and message flow"
State synchronisation;helix-editor/helix:helix-view/src/document.rs;Mixed;“Transactional, incrementally updated shared editor state”, “Coordinates text, selections, syntax trees, diagnostics, LSP state, rendering metadata, diff state, undo history, and configuration across multiple editor subsystems and views”, “Mostly read-heavy with some local incremental mutation”, “Lock-free snapshot sharing, reference-counted ownership, weak lifetime tracking, localised mutex protection (Mutex<Transaction>), event-driven updates”, “incremental transactional transforms”;Snapshot / copy-on-write model;"""ArcSwap"", ""Arc<Map>"", ""Lock-free snapshot sharing"",""Immutable transactions"", ""apply transaction once -> incrementally remap all dependent structures"", ""some atomic replace (ArcSwap store)""";ArcSwap, Arc, parking_lot::Mutex, Weak;Snapshot-based sharing gives scalable concurrent reads and async consistency but incremental remapping and transactional coordination logic become highly complex
Session coordination;rustdesk/rustdesk:src/client.rs;Coordination-heavy;“Central coordination layer connecting networking, runtime state, and session lifecycle.”, “Arc<RwLock<LoginConfigHandler>> (core session state hub)”, “shared mutable coordination across concurrent tasks”, “UI thread + Tokio async tasks + OS worker threads + IPC threads”;Shared-state concurrency model;"""Arc<RwLock<LoginConfigHandler>> (core session state hub). lc.read().unwrap() / lc.write().unwrap() across auth + connection"", ""ENIGO: Arc<Mutex<enigo::Enigo>> -> synchronized shared access to global input controller."", ""static ref CLIPBOARD_STATE: Arc<Mutex<ClipboardState>> -> shared lifecycle state for clipboard synchronization thread."", ""udp_port = Arc::new(Mutex::new(0)) together with tokio::spawn and udp.lock().unwrap() -> shared mutable coordination between concurrent async tasks during UDP probing.""";Arc,RwLock,Mutex;Centralised shared session state simplifies coordination across networking, IPC, and UI subsystems, but correctness depends on disciplined lock usage
I/O coordination;rustdesk/rustdesk:src/client/io_loop.rs;Mixed;"“Async layer for desktop session management with networking, video streaming, clipboard synchronisation, transfer jobs, adaptive FPS control, recording, permission propagation, and UI coordination”, “Shared video frame queues, decoder FPS telemetry, frame counters, discard/shutdown flags, runtime config (handler.lc), recording state, clipboard ownership/session state, transfer-job state, peer capabilities, permission flags, adaptive-control counters, display worker registry”, ""Combines message passing for the transfer of ownership with shared-memory for control synchronisation, eventual consistency coordination"", ""Tokio async network task, decode/render worker threads, render callbacks, clipboard, UI thread,  transfer,  peer protocol handlers, platform integration callbacks""";Producer–consumer / pipeline coordination model;"""Producer/consumer for queueing"", ""Channels are used for media/event ownership and shared memory for state and telemetry."", ""Arc<RwLock<ArrayQueue<VideoFrame>>> ->queue itself is lock free, outer lock serialises queue access data."", ""Tokio async network task, decode/render worker threads, render callbacks, clipboard, UI thread, transfer, peer protocol handlers, platform integration callbacks""";Arc,RwLock,Atomic;Separates ownership transfer from shared runtime telemetry, improving streaming throughput, but coordination between async tasks and worker threads is difficult to reason about
Connection coordination;rustdesk/rustdesk:src/rendezvous_mediator.rs;Coordination-heavy;“Distributed coordination. Shared memory is used for correctness (dedup, identity consistency, failover decisions), not performance optimization.”, “cross-task coordination between async loops, OS threads, and network handler”, “prevents duplicate NAT/relay events”, “restart/shutdown coordinated via atomic flags”;Shared-state concurrency model;"""SHOULD_EXIT.load(Ordering::SeqCst) loop termination"", ""SOLVING_PK_MISMATCH.lock().await single resolver"", ""Arc<RwLock<CONNECT_TIMEOUT>>"", ""Lock-based shared memory + atomic global flags + event deduplication via shared timestamps""";AtomicBool,Mutex,RwLock,Arc;Shared coordination state enables robust NAT traversal and failover correctness, but distributed lifecycle management depends heavily on correct atomic ordering and locking discipline
Runtime coordination;rustdesk/rustdesk:src/server.rs;Coordination-heavy;“Shared-state registry + actor-like services + atomic control plane”, “multiple async tasks + threads need access”, “service lifecycle”, “pub-sub shared memory”, “AtomicBool for control signals in loops”;Actor / message-passing model;"""Services are like actors subscribing to connection events."", ""services map uses pub-sub shared memory."", ""Shared-state registry + actor-like services + atomic control plane.""";Arc,RwLock,Mutex,AtomicBool,Weak;Shared runtime registry centralises service lifecycle management, but global shared state increases coordination complexity across services and worker threads
Runtime coordination;topjohnwu/Magisk:native/src/core/daemon.rs;Coordination-heavy;“Multiple worker threads run concurrently -> need synchronised access to global daemon resources and cached state without copying or rebuilding context per request”, “pub sql_connection: Mutex<Option<Sqlite3>>, pub manager_info: Mutex<ManagerInfo>, pub boot_stage_lock: Mutex<BootState>, pub zygisk: Mutex<ZygiskState>”, “pub zygisk_enabled: AtomicBool -> just a lock = frequent reads, doesn't need locking -> avoid locking overhead”, “pub module_list: OnceLock<Vec<ModuleInfo>> -> no mutation after initialisation, only reads after”, “all worker threads share one daemon object”;Shared-state concurrency model;"""pub static MAGISKD: OnceLock<MagiskD> = OnceLock::new() -> daemon instance is shared accross the whole process, lock -> everyone gets immutable shared access."", ""pub sql_connection: Mutex<Option<Sqlite3>>, pub manager_info: Mutex<ManagerInfo>, pub boot_stage_lock: Mutex<BootState>, pub module_list: OnceLock<Vec<ModuleInfo>>, pub zygisk_enabled: AtomicBool, pub zygisk: Mutex<ZygiskState>, pub cached_su_info: AtomicArc<SuInfo> -> shared state for MagiskD, many threads can mutate zygisk/manager info/sql connection/boot stage lock -> only one thread can access it at a time"", ""all worker threads share one daemon object."", ""concurrent threadpool + global daemon -> need synchronisation""";OnceLock, Mutex, AtomicBool, AtomicArc;Daemon acts as central authority with shared mutable runtime, separation between immutable config and synchronised mutable subsystems, state that is performance sensitive uses atomics instead of locks, module metadata uses write-once/read-many to avoid synchronisation after boot
Logging system;topjohnwu/Magisk:native/src/core/logging.rs;I/O-bound;“Shared logging + concurrent log delivery between producer threads and a dedicated logging daemon thread”, “Global logging pipe FD, zygisk raw log FD, shared FIFO pipe connection to logging daemon”, “many producer threads log concurrently, dedicated daemon thread consumes FIFO and serialises logfile output”;Producer–consumer / pipeline coordination model;"""multi-producer + single-consumer architecture: many threads call magisk_log_to_pipe and new_daemon_thread creates logging thread."", ""Many producer threads log concurrently, dedicated daemon thread consumes FIFO and serialises logfile output"", ""shared FIFO pipe connection to logging daemon"", ""// It's guaranteed to always write the whole thing atomically -> kernel synchronisation trick to ensure atomicity, avoids mutex, multiple threads can write concurrently.""";Mutex, AtomicI32, Arc;High-performance logging design: synchronisation protects handle ownership, not IO itself, it uses Arc to avoid serialised writes, uses POSIX PIPE_BUF guarantees instead of userspace locking, separation between daemon logging path and zygisk path
Caching layer;topjohnwu/Magisk:native/src/core/su/daemon.rs;Coordination-heavy;“Cache + synchronizs root access policy + state across concurrent su requests in the daemon”, “Multiple daemon worker threads spawned from ThreadPool::exec_task, handle Unix socket SUPERUSER requests”, “pub cached_su_info: AtomicArc<SuInfo> -> shared cache, every worker thread handling an incoming su request can access it concurrently”, “Mutex<AccessInfo> -> mutable synchronised data: only the access policy state is mutable”;Shared-memory concurrency model;"""lock-free + mutex synchronisation, atomic pointer swaps for global cache visibility, mutex for interior mutable state""";AtomicArc, Mutex, Arc;Fast path: lock-free cache reuse, slow path: rebuild policy from DB -> atomically publish shared object. Locking around mutable authorisation state -> small contention. Arc allows request handlers to retain policy snapshots.
Resource coordination;topjohnwu/Magisk:native/src/core/thread.rs;Coordination-heavy;“Shared task dispatch and worker lifecycle coordination for daemon thread pool”, “Multiple producer threads need to submit work to reusable worker threads while coordinating worker sleep/wakeup and dynamic thread creation”, “Producers lock pool state, wait while task slot occupied, insert task, then either wake idle worker or spawn new thread”, “Workers lock state, advertise idleness, sleep on condvar, take task, release lock”;Worker-thread pool execution model;"""Shared task dispatch and worker lifecycle coordination for daemon thread pool"", ""Multiple producer threads need to submit work to reusable worker threads while coordinating worker sleep/wakeup and dynamic thread creation"", ""Producer threads enqueue work concurrently, worker daemon threads compete for shared task slot, core threads persist while extra threads self-terminate after idle timeout"", ""static THREAD_POOL: LazyLock<ThreadPool> = LazyLock::new(ThreadPool::default) -> single shared thread pool, initialised once and shared accross threads""";Mutex, Condvar, LazyLock;Only one shared task slot exists, so task submission is serialised, synchronisation separates task execution from lock ownership, condition variables coordinate state transitions
State synchronisation layer;farion1231/cc-switch:src-tauri/src/commands/webdav_auto_sync.rs;I/O-bound;"""WebDAV upload / download operations, coordinates sb / settings"", ""run_with_webdav_lock(...).await -> only one operation can run at once""";Producer–consumer / pipeline coordination model;"""Multiple components must trigger sync while avoiding duplicate uploads and recursive sync loops"", ""Concurrent producers send change signals, async worker consumes and batches events"", ""Actor/worker-style architecture, channels, bounded channel acts as flag queue, debounce merges bursts of events"", ""static DB_CHANGE_TX: OnceLock<Sender<String>> = OnceLock::new(); ->one sender is shared across the whole application, any component can notify the db has changed""";arc, OnceLock, AtomicUsize;Debouncing and batching reduce duplicate sync work, but suppression counters and async ordering make behaviour harder to reason about
Runtime coordination layer;farion1231/cc-switch:src-tauri/src/lib.rs;I/O-bound;"""Coordinate background WebDAV auto-sync across async tasks"", ""async worker consumes and batches events""";Shared-state concurrency model;"“Require shared access to the same application resources throughout runtime”, “Many reader/few writer”, “Concurrent reads from background workers with some synchronised mutations”, “Services accessible through AppState, cloned via Arc, coordinated through async primitives”, “concurrent tasks can own the database, no copying of db”, “multiple threads can read auth state concurrently + mutate config/tokens”, ""app.manage(CopilotAuthState(Arc::new(RwLock::new(copilot_auth_manager))))"", “background tasks clone the db w/o copying the resources”, ""let db_for_timer = state.db.clone(); -> background tasks clone the db w/o copying the resources.""";arc,rwlock;Centralised shared services simplify cross-component access, but global state increases coupling and requires careful async lock management
I/O coordination layer;farion1231/cc-switch:src-tauri/src/proxy/circuit_breaker.rs;Coordination-heavy;"""Multiple async tasks must view and update one provider health view so routing logic can reject unhealthy providers"", ""Arc<RwLock<CircuitState>>,consecutive_failures: Arc<AtomicU32>""";Shared-state concurrency model;"""Multiple async tasks must view and update one provider health view so routing logic can reject unhealthy providers"", ""Shared-memory async coordination: lock-free atomic coordination for counters and permit management, async reader/writer locking for coordinated state transitions and configuration mutation"", ""Many tasks can share the same breaker, and all mutations need to be thread-safe."", ""CircuitBreaker: state: Arc<RwLock<CircuitState>>"", ""Arc is used throughout the structure to allow multiple tasks to use the breaker simultaneously""";arc,rwlock, AtomicU32;Atomics reduce contention for counters, while coordinated state transitions still require async locking and careful visibility guarantees
Request coordination layer;farion1231/cc-switch:src-tauri/src/proxy/response_processor.rs;Mixed;"""Handling of streaming/non-streaming responses, Sse usage, timeout coordination, async logging, safe request state propagation"", ""Sse chunks arrive through the stream loop and mutate local parsing buffers""";Async executor–driven coordination;"""Async coordination under Tokio runtime."", ""runtime task scheduling (tokio::spawn), stream polling via StreamExt::next(), timeout with tokio::time::timeout."", ""Tokio async runtime. Concurrency is task-based."", ""tokio::spawn schedules logging onto runtime worker threads."", ""tokio::sync::Mutex is chosen because locks may be held across .await points."", ""Request handlers collect data, then detached tasks persist it asynchronously.""";arc,mutex,rwlock (tests), AtomicBool;Streaming responses remain responsive because persistence is detached into async tasks, but lifecycle coordination across streams and logging is complex
Resource coordination layer;farion1231/cc-switch:src-tauri/src/proxy/server.rs;I/O-bound;"""HTTP proxy server handling API requests, routing, failover, circuit breaker"", ""task per connection""";Shared-state concurrency model;“Maintain consistent routing across requests, allow runtime config updates, expose shared server status, coordinate provider health globally”, “async tasks clone shared Arc references and access shared state via async locks”, “Shared-memory coordination with async task scheduling”, “they all share the same db, config, status, start time, provider status, failover manager”, “circuit breaker state persists across requests”;arc,rwlock;Shared long-lived routing and failover state improves consistency across requests, but increases coupling between subsystems
Event dispatch system;farion1231/cc-switch:src-tauri/src/services/webdav_auto_sync.rs;Coordination-heavy;"""Prevent concurrent sync corruption, coordinate database imports/exports, avoid overlapping manual/automatic sync""";Resource arbitration model;"""Prevent concurrent sync corruption, coordinate database imports/exports, avoid overlapping manual/automatic sync"", ""shared-state coordination using async mutual exclusion"", ""many async tasks may exist concurrently but only one sync operation executes at a time"", ""run_with_webdav_lock(...).await -> only one operation can run at once"", ""webdav_sync_mutex().lock().await"", ""it needs to prevent db corruption or inconsistent snapshots""";tokio::sync::Mutex, Arc;Single async mutex guarantees consistency for sync operations, but serialises uploads/downloads and may delay concurrent requests
Rendering coordination layer;lapce/lapce:lapce-app/src/editor_tab.rs;Coordination-heavy;“manages ui/editor state” and “Multiple UI components need synchronised access to the same editor and configuration state without duplicating data” and “Reactive reads/writes using .get(), .with(), .update(), .get_untracked()” and “Uses reactive programming and shared ownership rather than explicit thread synchronisation” and “children stores size, layout rectangle signal and child content, so the layout information is shared”;Shared-state concurrency model;"“Multiple UI components need synchronised access to the same editor and configuration state without duplicating data”, “Rc<Doc>, RwSignal<T>, ReadSignal<T>, Arc<LapceConfig>”
“Reactive shared-state”, “Single-threaded UI/reactive runtime context”, “RwSignal is reactive mutable state, so shared variable + automatic UI updates”";Rc, RwSignal;Reactive snapshot updates minimise recomputation overhead for UI rendering but the design is restricted to single-threaded UI execution
State synchronisation layer;lapce/lapce:lapce-app/src/plugin.rs;I/O-bound;"""Tracks installed/available plugins + installs/uninstalls them"", ""background threads fetch plugins""";Producer–consumer / pipeline coordination model;"“worker threads return results via callbacks”, “background threads fetch plugins: std::thread::spawn(move || { let volts = Self::query_volts(&query, offset); send(volts); });”
“volts.update(|volts| { volts.extend(...) }); -> volts to shared UI state”, “UI components and worker tasks must observe/update shared plugin state”, “many std::thread::spawn”";RwSignal, Arc, AtomicU64;Asynchronous plugin coordination reduces blocking during installs and updates but maintaining consistent UI state requires careful lifecycle and ordering management
Event dispatch system;lapce/lapce:lapce-proxy/src/dispatch.rs;Coordination-heavy;"""dispatcher for the editor, receives requests+notifications from UI, routes, filesystem changes"", ""Arc<Mutex<Option<Sender<bool>>>>""";Shared-state concurrency model;"“workspace_fs_change_handler: Arc<Mutex<Option<Sender<bool>>>>”, “let mut handler = self.workspace_fs_change_handler.lock(); -> lock mutex”, “Arc allows multiple threads to own the data, mutex so that one thread accesses it at the time”, “all can read/replace/clear handler”, “debounce worker thread”, “batch rapid file events into a single delayed update cycle”";Arc, Mutex, AtomicU64;Pipeline-style batching and event routing improve responsiveness but coordinating many independent event producers increases orchestration complexity
Connection coordination layer;lapce/lapce:lapce-proxy/src/plugin/lsp.rs;I/O-bound;"""LSP communication via RPC and document sync state"" and ""stdin/stdout/stderr threads coordinate primarily through RPC channels""";Actor / message-passing model;"“channels are used for coordination”,“most data transferred via channels and ownership moves”, “stdin writer thread, stdout reader thread, stderr logging thread”
“Primarily message-passing , some shared-memory synchronisation”, “server_rpc.clone() and plugin_rpc.core_rpc.clone() might use shared-mem internally”, “low shared-memory usage”";Arc, Mutex;Channel-driven coordination minimises shared mutable state but correctness depends strongly on RPC ordering and synchronisation between streams
Request coordination layer;lapce/lapce:lapce-rpc/src/core.rs;Coordination-heavy;"""RPC request/response matching via pending map"", ""Central RPC mailbox, event-loop architecture with lightweight shared metadata""";Actor / message-passing model;"""tx: Sender<CoreRpc>, rx: Receiver<CoreRpc>"", “message-passing channels”, “when a request is sent, the caller creates respone channel”, “pending shared: table of pending requests waiting for responses”, “channels carry ownership of large payloads while shared memory is limited to lightweight coordination metadata”, “minimal shared-memory usage and minimal locking”";Arc, Mutex, AtomicU64;Mailbox-style coordination keeps most request flow asynchronous but the shared pending-request map can still become a central synchronisation bottleneck
Resource coordination layer;nushell/nushell:crates/nu-command/src/network/http/client.rs;I/O-bound;"""coordinate HTTP client pool + async request cancellation/state sharing"", ""GLOBAL_CLIENT: RwLock<Option<Arc<Agent>>>""";Resource arbitration model;"""static GLOBAL_CLIENT: RwLock<Option<Arc<Agent>>> = RwLock::new(None)"", ""reuse tcp connections + tls handshake"", ""many threads can own the same client safely""";Arc,RwLock;Shared pooled HTTP clients reduce TCP/TLS setup overhead, but the global RwLock introduces coordination overhead during initialization and reset paths
Request coordination layer;nushell/nushell:crates/nu-plugin-core/src/interface/stream/mod.rs;Mixed;"""streamwriter produces stream sata, streamreader consumes it, streammanager tracks active streams"", ""uses message passing for receiver""";Actor / message-passing model;"""Streamreader receives messages"", ""uses messagepassing for receiver"", ""StreamWriterSignal: Condvar -> allows efficient thread sleeps""";Arc,Mutex,Condvar;ACK-based backpressure improves flow control and prevents overload, but lifecycle coordination between writers, readers, and manager state is complex
Runtime coordination layer;nushell/nushell:crates/nu-protocol/src/engine/engine_state.rs;Mixed;"""runtime state, enginestate stored parsed files and modules, commands, declarations"", ""pub repl_state: Arc<Mutex<ReplState>>, pub jobs: Arc<Mutex<Jobs>>""";Shared-state concurrency model;"""pub repl_state: Arc<Mutex<ReplState>>, pub jobs: Arc<Mutex<Jobs>>, pub regex_cache: Arc<Mutex<LruCache<String, Regex>>>""";Arc,Mutex,AtomicBool, AtomicU32, Arc::make_mut;Layered coordination combines shared immutable metadata with mutex-protected runtime services, but the large central runtime state increases coupling and synchronisation complexity
Event dispatch system;nushell/nushell:crates/nu-protocol/src/pipeline/handlers.rs;Coordination-heavy;"""Threads register handlers. Event handlers"", ""Arc<Mutex<Vec<(usize, Handler)>>> -> shared ownership across threads + synchronized mutable access""";Shared-state concurrency model;“coordinates shared-memory. Threads register handlers. Event handlers” and “Multiple threads need to register, remove, execute handlers through a shared registry” and “Shared reads during dispatch and synchronised writes during registration/removal via mutex locking” and “Arc<Mutex<T>> for shared mutable state” and “mutex remains locked during handler execution, favouring correctness over concurrency”;arc, Send/Sync;Simple shared registry design guarantees correctness during handler execution, but the mutex serialises registration and dispatch operations
