repo_name;file;purpose;primitives;what_is_shared;why_shared;access_pattern;coordination_type;thread_context;pattern_observations;evidence;notes
topjohnwu/Magisk;native/src/core/logging.rs;Shared logging + concurrent log delivery between producer threads and a dedicated logging daemon thread;Mutex<Option<Arc<File>>>, AtomicI32, kernel pipe atomicity (PIPE_BUF);Shared access to logging infractructure, Global logging pipe FD, zygisk raw log FD, shared FIFO pipe connection to logging daemon;Multiple threads need concurrent access to the same logging transport while supporting reconnect/disconnect and minimising hot-path contention;Short mutex acquisition to clone Arc<File>, then lock-free writes, atomic load/swap for zygisk FD lifecycle, concurrent writers rely on kernel-guaranteed atomic pipe writes;mutex-protected ownership/lifecycle state, lock-free atomic FD publication, kernel-mediated sync for concurrent writes;Many producer threads log concurrently, dedicated daemon thread consumes FIFO and serialises logfile output, zygisk path assumes single threaded execution;High-performance logging design: synchronisation protects handle ownership, not IO itself, it uses Arc to avoid serialised writes, uses POSIX PIPE_BUF guarantees instead of userspace locking, separation between daemon logging path and zygisk path;static MAGISK_LOGD_FD: Mutex<Option<Arc<File>>> = Mutex::new(None) -> global mutable shared file handle used by daemon thread and logging callers, arc is used becsue many threads may log at the same time, if pipe fails shared state can disconnect. lock briefly -> clone shared handle -> unlock -> perform IO without mutex. Mutex only used for pointer state, and actual writes happen lock free to avoid contention, deadlocks, bottlenecks. static ZYGISK_LOGD: AtomicI32 = AtomicI32::new(-1)  and // SAFETY: zygisk client code runs single threaded -> avoid mutex because it runs single threaded, atomic used for safe publication/reset. multi-producer + single-consumer architecture: many threads call magisk_log_to_pipe and new_daemon_thread creates logging thread. // We don't need to care the written len because we are writing less than PIPE_BUF // It's guaranteed to always write the whole thing atomically -> kernel synchronisation trick to ensure atomicity, avoids mutex, multiple threads can write concurrently. Mutex for ownership/state transitions/connection lifecycle, atomic: lightweight publication. Kernel synchronisation: concurrent log message delivery;combines userspace synchronisation with kernel synchronisation. Focus on performance
topjohnwu/Magisk;native/src/core/thread.rs;Shared task dispatch and worker lifecycle coordination for daemon thread pool;LazyLock, Mutex<T>, Condvar;thread pool singleton, shared pool state, single shared pending task slot;Multiple producer threads need to submit work to reusable worker threads while coordinating worker sleep/wakeup and dynamic thread creation;Producers lock pool state, wait while task slot occupied, insert task, then either wake idle worker or spawn new thread. workers lock state, advertise idleness, sleep on condvar, take task, release lock, execute outside critical section;Monitor style coordination using mutex + condition variables;Producer threads enqueue work concurrently, worker daemon threads compete for shared task slot, core threads persist while extra threads self-terminate after idle timeout;"Thread pool design: only one shared task slot exists, so task submission is serialised; synchronisation separates task execution from lock ownership, condition variables coordinate state transitions ";static THREAD_POOL: LazyLock<ThreadPool> = LazyLock::new(ThreadPool::default) -> single shared thread pool, initialised once and shared accross threads, ThreadPool: task_is_some: Condvar, task_is_none: Condvar, info: Mutex<PoolInfo> -> shared state. idle_threads = how many workers sleeping right now, total_threads = how many workers exist total. mutex: shared scheduler metadata;It is a synchronised single-task handoff channel with worker threads. Shared memory usage is tiny and centralised. Workers only hold the mutex while manipulating pool metadata, never while executing tasks.
topjohnwu/Magisk;native/src/core/su/daemon.rs; Cache + synchronizs root access policy + state across concurrent su requests in the daemon;AtomicArc<SuInfo>, Arc<SuInfo>, Mutex<AccessInfo>;Cached SuInfo object + mutable access state;Avoid rebuilding DB-derived access policy for every request while safely mutating authorisation state;Read-heavy cache lookups, atomic replacement, mutex mutable updates during authorisation;lock-free + mutex synchronisation, atomic pointer swaps for global cache visibility, mutex for interior mutable state;Multiple daemon worker threads spawned from ThreadPool::exec_task, handle Unix socket SUPERUSER requests;Fast path: lock-free cache reuse, slow path: rebuild policy from DB -> atomically publish shared object. Locking around mutable authorisation state -> small contention. Arc allows request handlers to retain policy snapshots. ;"pub cached_su_info: AtomicArc<SuInfo> -> shared cache, every worker thread handling an incoming su request can access it concurrently, pointer is shared -> lock free reads of the cache pointer + safe concurrent ownership. access: Mutex<AccessInfo> -> mutable synchronised data: only the access policy state is mutable, rest is read-only. Arc<SuInfo> -> share ownership of policy object. if cached.uid == uid && cached.access.lock().is_fresh() {
    return cached;
} -> reuse cached objects if fresh to avoid db lookups. ";layered shared memory: atomic shared ownership for immutable data, mutex for mutable subfield
alacritty/alacritty;alacritty/src/logging.rs;Logging system with lazy logfile creation and UI event notifications;Mutex, Arc<AtomicBool>, OnceLock;Shared logfile writer, stdout writer, event-loop proxy, logfile-created flag, cached extra log targets;Multiple threads can log concurrently -> writes should be serialised while notifying UI;Threads: mutexes around logfile/stdout/event proxy, atomic flag: tracks logfile creation (no locking), OnceLock:initialises immutable shared config (lazy);Mutex serialisation + lock-free atomic state + one time initialisation;Any thread can call log() concurrently, event-loop thread receives notifications;Lot of synchronisation: logging is serialised with mutexes to maintain consistency of output, immutable shared config uses OnceLock;"Logger: logfile: Mutex<OnDemandLogFile>, stdout: Mutex<LineWriter<Stdout>>, event_proxy: Mutex<EventLoopProxy<Event>> -> Mutex<OnDemandLogFile> : file: Option<LineWriter<File>>
path: PathBuf
created: Arc<AtomicBool> -> all threads write to the same logfile, this ensures only one thread at a time does that, in log(): acquire lock-write-release lock, Option<LineWriter<File>> -> ensures the file isn't opened immediately (lazy) -> only create logfile when needed, created: Arc<AtomicBool>-> track when file is created, arc because many threads can query it, stdout: Mutex<LineWriter<Stdout>> -> same thing as before, needs to be serialised, event_proxy: Mutex<EventLoopProxy<Event>> -> UI notification is sent when ERROR/WARN, mutex= every thread can send this message, but UI event loop is centralised, guarantees safe access. EXTRA_LOG_TARGETS: OnceLock -> immutable shared configuration, emv var is loaded once instead of on every log call(happens in get_or_init, after that read only and no locking needed). Logging happens in various threads, so if not synchronised messages might get scrambled. Logfile independently synchronised.  Formatting happends before locks -> only actaul writei sserialised, so it doesn't hold lock for longer than it needs";Shared state is limited to I/O and event dispatch, while log message formatting is lock-free before writes
alacritty/alacritty;alacritty/src/renderer/mod.rs;OpenGL initialisation and cache extension capabilities across renderer threads;AtomicBool, OnceLock<T>;OpenGL loader initialisation and immutable extension (OPENGL_EXTENSIONS);Prevent duplicate loading and avoid repeatedly querying OpenGL data;One-time check (swap(true)), initialise-once (get_or_init), read-only shared access;Lock-free atomic coordination, single initialisation;Multiple renderer initialisation threads, but rendering remains mostly thread-confined via &mut self;Shared state is minimised (only initialisation coordination), later shared data becomes immutable and lock-free to read. Rust borrow rules (&mut self) enforce thread confinement ;"pub static GL_FUNS_LOADED: AtomicBool = AtomicBool::new(false) -> global shared state, OpenGL function pointers are loaded once, at GL_FUNS_LOADED.swap(true, Ordering::Relaxed) only one thread will see that it is false and initialise, no mutex because this is cheaper, relaxed ordering. static OPENGL_EXTENSIONS: OnceLock<HashSet<&'static str, RandomState>> -> shared immutable -> no locking after initialisation, because GlExtensions::contains(""GL_KHR_debug"") is called often, prevents data races. No other primitives -> only one thread owns/mutates renderer at a time. mutable borrowing -> only one mutable user exists at a time, so no locking needed";Not much shared memory here, but it is mostly not necessary, because only one thread mutates a renderer at a time, so it avoids mutexes/locking because it is expensive. 
alacritty/alacritty;alacritty_terminal/src/event_loop.rs;The main event loop which performs I/O on the pseudoterminal and rendering coordination;Arc<FairMutex<T>>, Arc<T>;Shared terminal state, event notifications, queued messages;thread updates terminal from shell output while UI/render thread reads and renders safely without starvation;PTY thread acquires fair lease, attempts try_lock_unfair, falls back to blocking lock. UI sends commands asynchronously through channel;Fair mutex synchronisation + message-passing + event wakeup signaling;The PTY thread polls the PTY for readable/writable events, reads shell output, parses escape sequences, updates shared terminal state, wakes renderer. PTY event-loop thread, UI/render thread, input/notifier threads;Shared-memory for terminal state, message-passing for commands, fairness controls to prevent renderer starvation under heavy PTY throughput;"terminal: Arc<FairMutex<Term<U>>> -> shared terminal, uses the FairMutex from the other file to ensure fairness, arc: shared ownership across threads -> render and event loop thread both need access. Terminal output stream can be agressive, which is likely why fairmutex was needed. let _terminal_lease = Some(self.terminal.lease()) -> gets lock from fairmutex, preventing other threads from repeatedly jumping ahead, does not lock the actual data yet. match self.pty.reader().read(...) -> happens before terminal lock, because terminal lock is shared and expensive, so io may be blocking -> never hold shared terminal lock during OS reads. never hold shared terminal lock during OS reads -> try acquire terminal state, if the UI thread is rendering -> PTY thread continues buffering data -> renderer finishes -> responsiveness improves. None if unprocessed >= READ_BUFFER_SIZE =>
    self.terminal.lock_unfair() -> caps memory growth. MAX_LOCKED_READ = for preventing PTY thread monopolising terminal lock forever. poller: Arc<Poller> -> Shared across threads, immutable shared coordination, not data-sharing.";One dedicated PTY/event-loop thread owns I/O, while terminal state is shared with the renderer through a fair mutex. Nicely works with other file
alacritty/alacritty;alacritty_terminal/src/sync.rs;The entire file is about controlling shared-memory access fairness, prevent starvation;parking_lot::Mutex<T>;Shared data T plus a separate shared next controlling which thread may gets data next;Prevent aggressive threads from repeatedly reacquiring the mutex and starving waiting threads under contention;Threads first acquire next, then acquire data. _next stays alive during data.lock() to serialise contention + optional unfair fast paths bypass fairness;Layered mutex coordination;Multi-threaded scenarios where many threads repeatedly compete for the same shared resource;Shared mutable state is minimised, the extra mutex coordinates scheduling rather than protecting data.  Split between reservation (next) and ownership of data. Supports both fair and unfair locking modes for throughput vs fairness tradeoffs.;pub struct FairMutex<T> with data: Mutex<T>, next: Mutex<()> -> data protectrs the real shared memory (the actual object), next is for coordination, exists to control the order of lock aquisition. In lock: before it goes to the data, every thread must first aquire the next, so threads queue at next, preventing starvation. _next remains alive while acquiring data, it is dropped after aquiring data. lease() lets a thread reserve future access without locking the data, so the data reservation is separated from the data access. unfair bypasses fairness and just accesses self.data.lock -> allows control, lower overhead, higher throughput, possible starvation. parking_lot mutexes used -> faster, smaller, more flexible than std mutexes -> necessary because this design adds an extra mutex acquisition per lock. In this file, a mutex is guarding another mutex;
alacritty/alacritty;alacritty_terminal/src/tty/windows/child.rs;Cross-thread monitoring and event notification on Windows;Arc<T>, Arc<Mutex<Option<T>>>, AtomicPtr<T>;Child process handle, poller registration (Interest), exit notifications (ChildEvent);WinAPI must safely communicate process exit back to event loop threads;Callback thread atomically reads process handle, sends exit event through channel, locks shared interest state to post poller completion packet;Atomics for raw HANDLE sharing, mutex for mutable registration state;Windows wait-thread callback + application event loop/poller thread;event-loop architecture, minimises shared mutable state by using channels for payload delivery and mutex only for optional poller registration;Arc<Mutex<Option<Interest>>> used to share poller registration state across callback + watcher, AtomicPtr<c_void> used to share child process handle safely across threads/callback boundary. Atomic because callback runs on OS thread, event loop may drop/update watcher -> no locking allowed in WinAPI callback (must be fast);AtomicPtr avoids locking for HANDLE reads in callback
helix-editor/helix;helix-dap/src/transport.rs;Async request/response coordination between debugger transport tasks;Arc, tokio::sync::Mutex;pending_requests: HashMap<seq, Sender>;match server responses to originating client request;Many async tasks read/write the request map, send task inserts pending requests, recv task removes/completes them;Message passing + shared-state synchronisation;Multiple Tokio tasks (send, recv, err) concurrently access transport state;Mutex protects correlation table, while channels carry actual data. Ownership transfer to avoid sharing payload contents, Arc<Self> enables concurrent transport tasks;"pending_requests: Mutex<HashMap<u64, Sender<Result<Response>>>> -> for each request, a channel is stored so that its response can be delivered later. Arc::new(Self { id, pending_requests: Mutex::new(HashMap::default()), }); -> Arc for shared ownership across async tasks (so multiple spawned tasks like recv/send/err can access the same Transport instance safely without copying it). Mutex is used to ensure only one task at a time can mutate the HashMap, since inserts (on request send) and removals (on response receive) happen concurrently from different async tasks.";Coordination oriented shared memory rather than data sharing
helix-editor/helix;helix-event/src/redraw.rs;Coordinate editor redraw timing and prevent rendering during async work;parking_lot::RwLock;Render gate lock (RENDER_LOCK);Lets background tasks block frame rendering until computation completes, while also waking renderer efficiently;Many readers exist together, renderer acquires write lock in start_frame, async notification via Notify;Reader writer synchronisation, async event signaling;Shared across all Tokio threads handling editor/render tasks;Uses read locks as frame blockers, render waits for all readers to release before proceeding, redraw requests are event-driven, globals isolate parallel integration tests;when something changes, the renderer wakes up REDRAW_NOTIFY.notify_one() -> static RENDER_LOCK: RwLock<()> -> controlls when rendering is allowed. Async tasks take the read lock, renderer takes write lock, rendering must wait untill all async tasks have completed, and a write lock can only be aquired when no readers exist. RENDER_LOCK.read(), RENDER_LOCK.write();Interesting use of rwlock: read locks are blockers, write lock acts as a synchronisation barrier before rendering
