repo_name;role_name;files_included;evidence;;;
topjohnwu/Magisk;Logging system;native/src/core/logging.rs;Shared logging infrastructure coordinating concurrent log delivery between producer threads and dedicated logging daemon thread, static MAGISK_LOGD_FD: Mutex<Option<Arc<File>>> serialises shared logfile ownership while writes occur lock-free after Arc clone. static ZYGISK_LOGD: AtomicI32 safely publishes/reset shared FD state, concurrent writers rely on PIPE_BUF kernel atomicity to avoid userspace locking;;;
topjohnwu/Magisk;Resource coordination layer;native/src/core/thread.rs;Shared daemon thread pool coordinating worker lifecycle and task dispatch. static THREAD_POOL: LazyLock<ThreadPool> initialises one shared pool across threads, ThreadPool contains Condvar task_is_some/task_is_none and Mutex<PoolInfo> shared scheduler metadata, producers and worker threads coordinate sleep/wakeup and task handoff through monitor-style mutex + condition variable synchronisation;;;
topjohnwu/Magisk;Caching layer;native/src/core/su/daemon.rs;Shared cached SuInfo object reused across concurrent SUPERUSER requests, pub cached_su_info: AtomicArc<SuInfo> provides lock-free shared cache visibility across daemon worker threads, access: Mutex<AccessInfo> protects mutable authorisation state while the rest of SuInfo remains shared and read-heavy, cached policy objects reused to avoid repeated DB-derived policy reconstruction;;;
alacritty/alacritty;Logging system;alacritty/src/logging.rs;Shared logfile writer, stdout writer, event-loop proxy, logfile-created flag, cached extra log targets, multiple threads can log concurrently so writes must be serialised, Mutex<OnDemandLogFile>, Mutex<LineWriter<Stdout>>, Mutex<EventLoopProxy<Event>> serialise concurrent logging and UI notifications, Arc<AtomicBool> tracks logfile creation without locking, EXTRA_LOG_TARGETS: OnceLock initialises immutable shared config once;;;
alacritty/alacritty;Rendering coordination layer;alacritty/src/renderer/mod.rs;OpenGL loader initialisation and immutable extension cache shared across renderer threads, GL_FUNS_LOADED: AtomicBool ensures OpenGL functions are initialised only once, OPENGL_EXTENSIONS: OnceLock<HashSet<...>> provides immutable shared extension state, rendering remains mostly thread-confined through &mut self so shared memory is minimised;;;
alacritty/alacritty;I/O coordination layer;alacritty_terminal/src/event_loop.rs;Main PTY event loop coordinating terminal I/O and rendering, shared terminal state accessed by PTY thread and renderer through Arc<FairMutex<Term<U>>>, PTY thread reads shell output while renderer safely reads terminal state, fairness controls prevent renderer starvation under heavy PTY throughput, channels used for commands and event wakeup signalling. Contains event loop, but the architectural pattern is more geared towards I/O coordination;;;
alacritty/alacritty;Synchronisation primitive layer;alacritty_terminal/src/sync.rs;FairMutex<T> controls shared-memory access fairness and prevents starvation, data: Mutex<T> protects shared object while next: Mutex<()> coordinates lock acquisition order, threads first acquire next then data to serialise contention, supports fair and unfair locking modes for throughput vs fairness tradeoffs;;;
alacritty/alacritty;OS integration bridge;alacritty_terminal/src/tty/windows/child.rs;Cross-thread Windows process monitoring and event notification, Child process handle and poller registration shared across callback and watcher threads, AtomicPtr<c_void> used because WinAPI callback cannot block or lock, Arc<Mutex<Option<Interest>>> protects mutable poller registration state while exit events are delivered back into the application event loop;;;
helix-editor/helix;Request coordination layer;helix-dap/src/transport.rs;pending_requests: Mutex<HashMap<seq, Sender>>, match server responses to originating client request, many async tasks read/write request map, insert/remove pending requests concurrently across send/recv tasks;;;
helix-editor/helix;Rendering coordination layer;helix-event/src/redraw.rs;"RENDER_LOCK: RwLock<()>; prevents rendering during async work. Renderer acquires write lock in start_frame, background tasks block frame rendering. redraw requests are event-driven";;;
helix-editor/helix;Event dispatch system;helix-event/src/registry.rs;global event bus per runtime, registering + dispatching hooks. Registry contains events and handlers maps. central coordination of event registration and execution. read-heavy dispatch, write-light registration;;;
helix-editor/helix;Runtime coordination layer;helix-event/src/runtime.rs;hashmap mapping runtime IDs to runtime specific singleton instances, prevents integration tests sharing globals, runtime specific state partitioning, read lock for lookup, write lock on miss;;;
helix-editor/helix;Execution loop;helix-term/src/application.rs;main application loop that coordinates input, rendering, jobs. Config shared via ArcSwap, single-owner event loop, async tasks spawned for UI, jobs, LSP. Message passing replaces shared mutation;;;
helix-editor/helix;State synchronisation layer;helix-view/src/document.rs;transactional document state, incremental updates, rope snapshots, savepoints protected by Mutex<Transaction>, ArcSwap config and syntax loader, weak references for lifecycle management;;;
farion1231/cc-switch;Runtime coordination layer;src-tauri/src/lib.rs;runtime file, application bootstrapper, initialise plugins, start background workers, registers events, sets up u. Centralised async shared state. Services accessible through AppState, cloned via Arc, coordinated through async primitives and database serialisation.;;;y
farion1231/cc-switch;State synchronisation layer;src-tauri/src/commands/webdav_auto_sync.rs;Multiple async tasks must view and update one provider health view so routing logic can reject unhealthy providers. Shared-memory async coordination: lock-free atomic coordination for counters and permit management. Many tasks can share the same breaker, and all mutations need to be thread-safe. -> Synchronise shared provider-health state, coordinate concurrent access to counters/state transitions, ensuring visibility of Open/HalfOpen/Closed state across tasks;;;
farion1231/cc-switch;I/O coordination layer;src-tauri/src/proxy/circuit_breaker.rs;HTTP proxy server handling API requests, routing, failover, circuit breaker. Maintain consistent routing across requests, allow runtime config updates, expose shared server status. Tokio async runtime, task per connection, worker threads;;;
farion1231/cc-switch;Request coordination layer;src-tauri/src/proxy/response_processor.rs;response processing. Handling of streaming/non-streaming responses, Sse usage, timeout coordination, async logging, safe request state propagation. SSE collecto: incremental parse -> shared accumulation -> atomic finalize -> detached persistence. Logging pipeline is decoupled, improving responsiveness because DB writes never block response streaming.;;;
farion1231/cc-switch;Resource coordination layer;src-tauri/src/proxy/server.rs;Prevent concurrent sync corruption, coordinate database imports/exports, avoid overlapping manual/automatic sync. shared-state coordination using async mutual exclusion. Concurrency allowed at application level but one mutex used for synchronisation;;;
farion1231/cc-switch;Event dispatch system;src-tauri/src/services/webdav_auto_sync.rs;Multiple components must trigger sync while avoiding duplicate uploads and recursive sync loops. Concurrent producers send change signals, async worker consumes and batches events. Actor/worker-style architecture, channels, bounded channel acts as flag queue, debounce merges bursts of events;;;
sharkdp/fd;Runtime coordination layer;src/main.rs;Main, parse cli, build config, compile regexes. Prepares shared state, packages data for worker threads. main thread: builds config, regex objects, filters, calls walk::scan(). command: command.map(Arc::new) wraps the command in Arc before storing it in Config -> this file bootstraps runtime state and prepares shared resources for concurrent execution.;;;y
sharkdp/fd;I/O coordination layer;src/walk.rs;parallel filesystem scanning, filter entries and send matching results between threads. producer/consumer coordination between worker/walker threads and receiver threads. WalkParallel spawns filesystem walker workers. communication between threads uses channels crossbeam_channel::bounded. Uses batching to reduce channel traffic -> coordinates filesystem traversal and result flow between worker threads.;;;
nushell/nushell;Event dispatch system;crates/nu-protocol/src/pipeline/handlers.rs;Threads register handlers. Event handlers. Multiple threads need to register, remove, execute handlers through a shared registry. Shared reads during dispatch and synchronised writes during registration/removal via mutex locking. Arc<Mutex<Vec<(usize, Handler)>>> -> shared ownership across threads + synchronised mutable access.  -> acts as a central event/handler registration and dispatch system;;;
nushell/nushell;Caching layer;crates/nu-utils/src/sync/keyed_lazy_lock.rs;for caching, initialise once, thread safe. Avoid repeating expensive computation + safely sharing initialised values across threads. Given a key, you can compute a value once, store it, and let all threads reuse that same initialised value. RwLock protects cache structure while OnceLock serialises initialisation per key -> implements a reusable lazy cache ;;;
nushell/nushell;Request coordination layer;crates/nu-plugin-core/src/interface/stream/mod.rs;streamwriter produces stream data, streamreader consumes it, streammanager tracks active streams. Multiple threads must coordinate stream ownership, acknowledgements, cancellation, and backpressure. Combines message-driven communication with shared coordination, uses backpressure windowing similar to TCP. writer writes data -> transport messages -> streammanager handles message -> reader receives chunk + consumes + sends ack -> coordinates request/response-style streaming interactions with acknowledgements and lifecycle management;;;
nushell/nushell;Runtime coordination layer;crates/nu-protocol/src/engine/engine_state.rs;runtime state. Shared across runtime components and background jobs while allowing safe concurrent access. Layered concurrency design: immutable shared runtime metadata stored in Arc, mutable coordination state protected with Mutex. jobs tracks background jobs/active tasks/thread jobs. mailbox: Arc<Mutex<Mailbox>>, root_job_sender: Sender<Mail>  -> central runtime state container coordinating jobs, REPL state, caches, signalling, and runtime services.;;;y
nushell/nushell;Resource coordination layer;crates/nu-command/src/network/http/client.rs;coordinate HTTP client pool + async request cancellation/state sharing. Global pooled ureq::Agent. Avoid rebuilding HTTP clients/connectors repeatedly. RwLock<Option<Arc<Agent>>> -> many threads can own the same client safely. the agent is the reusable http connection pool -> coordinates shared access to pooled HTTP client/network resources across concurrent requests.;;;
lapce/lapce;Rendering coordination layer;lapce-app/src/editor_tab.rs;Uses reactive programming and shared ownership rather than explicit thread synchronisation, combines derived state with shared mutable UI signals, RwSignal is reactive mutable state, so shared variable + automatic UI updates -> this file primarily coordinates reactive editor/UI rendering state;;;
lapce/lapce;State synchronisation layer;lapce-app/src/plugin.rs;UI thread reads/writes, worker threads return results via callbacks, Reactive shared-state coordination with message style callbacks -> it synchronises plugin installation and UI-visible plugin state across threads.;;;
lapce/lapce;Event dispatch system;lapce-proxy/src/dispatch.rs;notifications are sent out when file changed, terminal resized, plugin updated, git commit triggered. Combines message passing with shared mutable coordination state -> it dispatches and coordinates filesystem/editor events between subsystems;;;
lapce/lapce;Connection coordination layer;lapce-proxy/src/plugin/lsp.rs;lsp client managing external language server process, write and read server, IO and RPC flow rely mainly on channels -> coordinates lifecycle and communication with external LSP server connections;;;
lapce/lapce;Request coordination layer;lapce-rpc/src/core.rs;Allows multiple threads to generate unique request IDs and match async responses back to waiting callers, pending shared: table of pending requests waiting for responses -> coordinate request/response matching;;;
sxyazi/yazi;Runtime coordination layer;yazi-core/src/tasks/tasks.rs;background task that updates progress. Uses snapshotting pattern, minimises lock duration -> coordinates task scheduler state and runtime task monitoring;;;y
sxyazi/yazi;Connection coordination layer;yazi-dds/src/server.rs;TCP server with multiple clients with message routing, broadcast updates, and async I/O handling. shared registry access.-> manages connected peers and routes messages between them;;;
sxyazi/yazi;Event dispatch system;yazi-dds/src/pubsub.rs;pubsub event routing for lua plugin, dispatches events to multiple targets. Registry as routing table, snapshot, no long held locks -> coordinates event subscription and dispatch routing;;;
sxyazi/yazi;Caching layer;yazi-runner/src/loader/loader.rs;plugin loader, cache for lua module. Read-heavy cache lookups (cache.read()), rare write -> mainly provides shared cached plugin/module reuse;;;
sxyazi/yazi;Runtime coordination layer;yazi-scheduler/src/scheduler.rs;scheduler: creates tasks, assigns ids, routes them into worker queues. shared memory used for coordination -> The file coordinates scheduling and lifecycle management of worker tasks;;;y
sxyazi/yazi;Resource coordination layer;yazi-scheduler/src/worker.rs;Many concurrent async workers can coordinate task lifecycle while reusing subsystem services across threads. Separation between execution and coordination -> coordinates shared worker subsystems, cancellation, and execution resources;;;
firecracker-microvm/firecracker;Request coordination layer;src/firecracker/src/api_server_adapter.rs;Match API requests to VMM actions and returning responses. Channels, EventFd, and controller logic exist to coordinate request/response flow between API and VMM threads;;;
firecracker-microvm/firecracker;Runtime coordination layer;src/firecracker/src/main.rs;Bootstraps Firecracker, creates subsystems, starts threads, API server, VMM, and event manager;;;
firecracker-microvm/firecracker;Runtime coordination layer;src/vmm/src/builder.rs;Assembles VM, devices, memory, VMM, thread infrastructure. Coordinates subsystem construction ;;;
firecracker-microvm/firecracker;Runtime coordination layer;src/vmm/src/lib.rs;Owns Vmm object, vCPU lifecycle, device manager, snapshots, event handling, VM control operations;;;
firecracker-microvm/firecracker;OS integration bridge;src/vmm/src/vstate/vcpu.rs;Bridges runtime logic to KVM vCPU threads. Translates runtime commands into KVM execution and synchronises vCPU execution;;;
firecracker-microvm/firecracker;Resource coordination layer;src/vmm/src/vstate/vm.rs;Manages shared VM resources. Guest memory, MMIO bus, interrupt routing, resource allocation, KVM memory slots. Coordinate access to shared VM resources;;;
casey/just;Shared configuration system;src/analyzer.rs;Builds Justfile configuration model used by the rest of the program and validates it. There is only Arc usage and its main role is constructing shared configuration/state before execution;;;
casey/just;Shared configuration system;src/dependency.rs;It is a data structure representing resolved dependencies inside the execution model. Coordination is part of the shared configuration/runtime model. Build and maintain shared execution configuation;;;
casey/just;Runtime coordination layer;src/justfile.rs;Evaluates scopes, resolves execution context, runs recipes, runs dependencies, spawns parallel workers, manages execution order, and coordinates interaction between multiple subsystems.;;;
casey/just;State synchronisation layer;src/ran.rs;Maintain consistent shared execution state (has the recipe already run) across threads ;;;
casey/just;OS integration bridge;src/signal_handler.rs;Receives OS callbacks, tracks child processes, forwards signals, and translates OS events into runtime actions;;;
